"ID","Total.Enrollment","Female","Male","Asian","Black","Hispanic","White","Disabilities","English.Language.Learners","Poverty","Economic.Needs.Index","MAT_num_tested","MAT_mean_score","ELA_num_tested","ELA_mean_score"
"01M015 2013",177,0.514,0.486,0.085,0.356,0.525,0.017,0.311,0.119,1,NA,71,276,71,48
"01M015 2014",190,0.489,0.511,0.047,0.379,0.547,0.016,0.342,0.1,1,NA,63,278,63,43
"01M015 2015",183,0.459,0.541,0.044,0.355,0.585,0.011,0.35,0.093,1,0.93,58,278,56,47
"01M015 2016",176,0.472,0.528,0.051,0.324,0.597,0.011,0.341,0.091,1,0.889,52,286,51,57
"01M015 2017",178,0.466,0.534,0.079,0.287,0.59,0.022,0.27,0.067,1,0.877,69,307,67,72
"01M019 2013",302,0.51,0.49,0.146,0.228,0.497,0.109,0.262,0.086,0.755,NA,114,301,112,60
"01M019 2014",285,0.495,0.505,0.144,0.196,0.519,0.105,0.312,0.088,0.747,NA,104,308,103,65
"01M019 2015",270,0.489,0.511,0.111,0.174,0.585,0.1,0.304,0.067,0.741,0.605,90,318,89,72
"01M019 2016",270,0.463,0.537,0.1,0.204,0.626,0.059,0.304,0.048,0.804,0.625,93,316,94,79
"01M019 2017",271,0.469,0.531,0.089,0.188,0.664,0.055,0.31,0.033,0.764,0.578,84,315,87,80
"01M020 2013",620,0.455,0.545,0.324,0.082,0.532,0.04,0.197,0.173,1,NA,231,296,227,58
"01M020 2014",631,0.483,0.517,0.353,0.086,0.498,0.038,0.228,0.165,1,NA,233,298,229,54
"01M020 2015",633,0.476,0.524,0.365,0.084,0.488,0.039,0.227,0.19,1,0.718,243,293,240,57
"01M020 2016",581,0.477,0.523,0.351,0.079,0.492,0.041,0.212,0.151,1,0.674,220,297,219,65
"01M020 2017",540,0.491,0.509,0.324,0.096,0.489,0.05,0.206,0.172,1,0.668,208,292,208,61
"01M034 2013",413,0.489,0.511,0.068,0.247,0.642,0.031,0.322,0.082,0.954,NA,264,300,259,58
"01M034 2014",393,0.499,0.501,0.066,0.275,0.626,0.031,0.328,0.064,0.949,NA,264,298,264,56
"01M034 2015",395,0.504,0.496,0.063,0.278,0.62,0.035,0.301,0.066,0.965,0.856,254,295,247,60
"01M034 2016",394,0.508,0.492,0.046,0.287,0.632,0.036,0.31,0.074,0.975,0.856,249,291,247,63
"01M034 2017",350,0.486,0.514,0.054,0.291,0.617,0.031,0.343,0.077,0.994,0.86,212,291,218,64
"01M063 2013",174,0.477,0.523,0.069,0.241,0.586,0.098,0.282,0.04,0.833,NA,62,286,62,53
"01M063 2014",179,0.52,0.48,0.073,0.251,0.564,0.095,0.33,0.045,0.81,NA,53,301,51,54
"01M063 2015",199,0.492,0.508,0.07,0.206,0.623,0.101,0.342,0.035,0.834,0.693,50,300,50,57
"01M063 2016",203,0.493,0.507,0.044,0.197,0.645,0.103,0.32,0.03,0.847,0.705,48,311,48,76
"01M063 2017",200,0.485,0.515,0.04,0.185,0.645,0.105,0.345,0.03,0.835,0.69,65,309,63,88
"01M064 2013",314,0.427,0.573,0.07,0.223,0.621,0.073,0.395,0.086,0.85,NA,112,282,110,51
"01M064 2014",287,0.432,0.568,0.059,0.226,0.603,0.094,0.345,0.066,0.902,NA,113,294,112,52
"01M064 2015",282,0.426,0.574,0.071,0.181,0.656,0.074,0.33,0.064,0.943,0.834,119,296,117,55
"01M064 2016",258,0.407,0.593,0.074,0.19,0.655,0.074,0.329,0.058,0.93,0.822,115,295,111,62
"01M064 2017",247,0.421,0.579,0.053,0.194,0.676,0.065,0.312,0.04,0.964,0.818,101,297,99,66
"01M110 2013",412,0.532,0.468,0.117,0.112,0.442,0.289,0.148,0.053,0.536,NA,167,322,167,77
"01M110 2014",416,0.483,0.517,0.137,0.096,0.44,0.279,0.168,0.048,0.531,NA,167,321,167,70
"01M110 2015",419,0.484,0.516,0.129,0.098,0.444,0.291,0.162,0.021,0.518,0.462,167,325,167,72
"01M110 2016",394,0.477,0.523,0.16,0.099,0.431,0.269,0.16,0.013,0.541,0.476,195,326,195,82
"01M110 2017",383,0.467,0.533,0.183,0.097,0.42,0.274,0.136,0.052,0.574,0.479,176,337,178,95
"01M134 2013",352,0.506,0.494,0.281,0.182,0.506,0.028,0.21,0.173,0.866,NA,151,298,147,54
"01M134 2014",318,0.478,0.522,0.264,0.198,0.509,0.028,0.28,0.148,0.925,NA,138,303,138,56
"01M134 2015",255,0.463,0.537,0.255,0.192,0.522,0.031,0.322,0.129,0.933,0.816,118,303,117,52
"01M134 2016",263,0.475,0.525,0.213,0.202,0.551,0.027,0.373,0.118,0.928,0.817,113,299,112,62
"01M134 2017",354,0.483,0.517,0.155,0.201,0.602,0.028,0.387,0.093,0.898,0.822,161,285,162,51
"01M140 2013",410,0.471,0.529,0.056,0.149,0.773,0.02,0.29,0.154,1,NA,254,280,253,46
"01M140 2014",393,0.494,0.506,0.056,0.127,0.789,0.025,0.349,0.14,1,NA,257,285,255,48
"01M140 2015",380,0.521,0.479,0.055,0.105,0.795,0.039,0.353,0.171,1,0.834,243,288,236,48
"01M140 2016",376,0.5,0.5,0.053,0.125,0.777,0.035,0.351,0.144,1,0.855,244,286,242,57
"01M140 2017",382,0.476,0.524,0.047,0.118,0.796,0.029,0.319,0.118,1,0.827,235,281,241,60
"01M142 2013",416,0.474,0.526,0.075,0.142,0.743,0.022,0.286,0.099,0.983,NA,167,292,167,54
"01M142 2014",384,0.453,0.547,0.063,0.138,0.742,0.018,0.31,0.083,0.977,NA,155,292,153,49
"01M142 2015",386,0.464,0.536,0.054,0.142,0.762,0.016,0.303,0.104,0.964,0.851,165,285,163,48
"01M142 2016",354,0.452,0.548,0.065,0.113,0.782,0.023,0.373,0.085,0.963,0.85,140,291,144,58
"01M142 2017",356,0.455,0.545,0.048,0.118,0.801,0.011,0.32,0.09,0.978,0.852,127,294,128,67
"01M184 2013",689,0.505,0.495,0.794,0.038,0.07,0.089,0.09,0.129,0.692,NA,379,339,375,91
"01M184 2014",668,0.503,0.497,0.783,0.03,0.081,0.082,0.114,0.136,0.71,NA,375,344,374,91
"01M184 2015",665,0.508,0.492,0.75,0.032,0.087,0.087,0.128,0.174,0.69,0.532,365,344,359,91
"01M184 2016",663,0.499,0.501,0.71,0.036,0.116,0.086,0.183,0.173,0.706,0.537,387,345,376,90
"01M184 2017",672,0.491,0.509,0.696,0.045,0.121,0.085,0.19,0.162,0.685,0.516,409,340,406,88
"01M188 2013",470,0.451,0.549,0.023,0.264,0.668,0.043,0.213,0.162,1,NA,307,280,299,43
"01M188 2014",501,0.463,0.537,0.024,0.279,0.653,0.042,0.281,0.152,1,NA,311,287,302,46
"01M188 2015",482,0.475,0.525,0.019,0.313,0.616,0.05,0.272,0.147,1,0.908,306,290,300,44
"01M188 2016",489,0.442,0.558,0.018,0.297,0.638,0.043,0.299,0.157,1,0.921,283,296,277,55
"01M188 2017",445,0.438,0.562,0.022,0.317,0.625,0.034,0.306,0.144,1,0.923,278,290,273,52
"01M292 2013",388,0.384,0.616,0.126,0.276,0.549,0.021,0.291,0.211,0.853,NA,75,254,71,19
"01M292 2014",323,0.399,0.601,0.136,0.26,0.533,0.031,0.331,0.198,0.839,NA,57,260,59,28
"01M292 2015",255,0.376,0.624,0.125,0.259,0.557,0.035,0.325,0.118,0.89,0.84,37,257,36,32
"01M292 2016",185,0.368,0.632,0.119,0.265,0.573,0.032,0.346,0.141,0.881,0.873,20,262,20,44
"01M301 2013",165,0.394,0.606,0.073,0.255,0.606,0.042,0.382,0.055,0.867,NA,141,280,141,46
"01M301 2014",158,0.399,0.601,0.101,0.247,0.595,0.032,0.361,0.057,0.911,NA,143,277,139,49
"01M301 2015",149,0.45,0.55,0.081,0.268,0.584,0.034,0.403,0.067,0.866,0.788,136,273,136,50
"01M301 2016",156,0.487,0.513,0.077,0.288,0.551,0.045,0.385,0.064,0.814,0.789,138,269,140,61
"01M301 2017",127,0.472,0.528,0.087,0.323,0.512,0.047,0.449,0.047,0.756,0.74,107,272,109,61
"01M315 2013",263,0.437,0.563,0.095,0.099,0.262,0.471,0.285,0.027,0.319,NA,77,308,78,70
"01M315 2014",276,0.431,0.569,0.08,0.12,0.243,0.493,0.286,0.007,0.322,NA,75,323,78,70
"01M315 2015",289,0.453,0.547,0.1,0.111,0.221,0.509,0.246,0.014,0.287,0.326,78,323,78,78
"01M315 2016",299,0.482,0.518,0.094,0.087,0.207,0.548,0.197,0.007,0.221,0.267,84,328,85,81
"01M315 2017",315,0.492,0.508,0.102,0.054,0.194,0.584,0.178,0.013,0.219,0.252,106,321,105,84
"01M332 2013",117,0.453,0.547,0.034,0.214,0.735,0,0.282,0.188,0.932,NA,102,275,95,41
"01M332 2014",100,0.46,0.54,0.05,0.17,0.75,0,0.28,0.24,0.94,NA,95,276,91,43
